SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ASIANPAINT","2,689.00","2,708.50","2,680.00","2,689.00","2,696.10","-","7.1","0.26","164660","44.35","2,985.70","2,115.00","-1.35","13.17"
"HBLENGINE","737.00","744.55","722.75","741.90","731.50","-","-10.4","-1.4","604445","44.33","1,122.00","551.60","-10.34","21.39"
"PINELABS","153.49","153.64","149.85","153.17","150.12","-","-3.05","-1.99","2920880","44.18","284.00","134.73","-1.48","0"
"APARINDS","13,680.00","14,062.00","13,572.00","13,836.00","13,772.00","-","-64","-0.46","31325","43.30","17,157.00","6,801.00","-15.36","54.79"
"PPLPHARMA","180.00","182.00","175.10","179.42","177.49","-","-1.93","-1.08","2433925","43.28","220.85","132.30","11.71","-15.95"
"TATAELXSI","3,505.00","3,548.90","3,486.00","3,503.20","3,506.80","-","3.6","0.1","121927","42.75","6,321.50","3,469.70","-13.75","-43.13"
"DMART","3,950.00","3,997.80","3,930.40","3,951.90","3,984.40","-","32.5","0.82","106301","42.18","4,949.50","3,529.00","-7.06","-1.59"
"GRSE","2,570.00","2,606.00","2,553.00","2,581.20","2,566.50","-","-14.7","-0.57","163228","42.10","3,339.00","1,963.70","-8.28","-1.97"
"SAIL","162.90","165.33","162.26","163.04","164.38","-","1.34","0.82","2538441","41.75","209.70","118.10","-8.71","20.46"
"MARICO","839.50","854.00","837.20","844.00","852.80","-","8.8","1.04","488721","41.43","873.00","690.20","4.38","18.42"
"J&KBANK","183.00","186.84","181.80","182.69","184.60","-","1.91","1.05","2201004","40.73","201.75","97.35","12.88","62.14"
"MAHABANK","79.89","80.65","79.55","79.90","79.94","-","0.04","0.05","5075675","40.69","94.50","51.71","-11.42","41.1"
"RVNL","225.44","226.75","223.50","225.44","225.74","-","0.3","0.13","1802348","40.57","400.70","221.55","-7.56","-40.01"
"HINDCOPPER","484.95","491.25","483.10","486.15","489.50","-","3.35","0.69","829091","40.38","760.05","226.70","-4.24","81.46"
"NHPC","79.00","80.84","78.63","79.20","80.38","-","1.18","1.49","4999619","40.07","89.22","71.62","6.05","-7.61"
"INOXWIND","78.00","79.94","77.40","78.12","78.85","-","0.73","0.93","5066417","39.99","167.62","75.05","-13.1","-51.62"
"KIRLOSENG","2,255.70","2,314.80","2,224.90","2,255.70","2,233.20","-","-22.5","-1","171228","38.62","2,720.00","855.80","12.1","143.23"
"HEROMOTOCO","4,908.00","4,949.00","4,900.00","4,909.90","4,934.90","-","25","0.51","77747","38.31","6,388.50","4,195.00","-0.78","12.26"
"KPITTECH","555.00","560.80","552.45","554.05","558.75","-","4.7","0.85","682412","38.04","1,328.00","543.00","-26.47","-56.13"
"MOTHERSON","144.00","144.04","142.13","144.17","142.19","-","-1.98","-1.37","2657018","37.94","155.25","89.70","-2.1","41.12"
"GAIL","171.19","173.00","169.70","171.20","172.80","-","1.6","0.93","2193396","37.68","188.89","134.36","-0.48","-6.57"
"BOSCHLTD","40,800.00","40,800.00","40,400.00","40,855.00","40,500.00","-","-355","-0.87","9282","37.65","42,565.00","28,610.00","0.78","5.91"
"AEGISVOPAK","272.80","282.00","270.52","271.24","277.32","-","6.08","2.24","1349701","37.50","311.49","158.00","16.45","-4.63"
"ICICIGI","1,618.00","1,626.90","1,604.10","1,612.20","1,620.90","-","8.7","0.54","229198","37.02","2,064.90","1,544.60","-13.33","-15.26"
"POLICYBZR","1,576.00","1,580.90","1,566.60","1,574.00","1,576.10","-","2.1","0.13","232639","36.60","1,974.00","1,364.00","-3.68","-10.55"
"VMM","110.25","112.50","109.80","110.33","111.77","-","1.44","1.31","3188171","35.56","157.60","98.77","-5.78","-19.03"
"UPL","613.50","613.85","607.65","616.60","609.00","-","-7.6","-1.23","575160","35.09","812.20","563.15","0.04","-11.35"
"360ONE","1,105.00","1,127.00","1,102.20","1,113.70","1,119.00","-","5.3","0.48","311809","34.81","1,236.20","906.05","-2.35","-6.99"
"JINDALSTEL","1,025.00","1,044.00","1,020.00","1,025.00","1,039.30","-","14.3","1.4","332461","34.42","1,306.20","929.85","-8.64","8.59"
"INDHOTEL","726.00","727.15","718.00","727.90","723.60","-","-4.3","-0.59","473342","34.22","811.95","565.00","-0.18","-5.58"
"PETRONET","273.00","277.00","271.00","273.80","275.75","-","1.95","0.71","1244264","34.12","326.40","235.35","-4.54","-9.33"
"KARURVYSYA","311.30","312.50","307.90","309.80","308.85","-","-0.95","-0.31","1100391","34.12","343.45","201.82","5.83","38.14"
"MANAPPURAM","326.70","332.80","324.15","325.45","330.00","-","4.55","1.4","1036075","34.09","347.90","245.15","3.56","21.64"
"CRAFTSMAN","9,201.00","9,369.50","9,140.00","9,105.00","9,272.50","-","167.5","1.84","36719","34.03","9,938.00","5,954.00","-5.47","44.79"
"MAZDOCK","2,335.00","2,355.00","2,323.00","2,342.80","2,337.00","-","-5.8","-0.25","145233","33.96","3,136.50","2,057.40","-7.21","-21.63"
"INDUSTOWER","401.55","407.75","401.55","403.50","407.10","-","3.6","0.89","821942","33.38","481.50","312.55","-1.02","0.89"
"IEX","122.00","123.60","120.91","122.80","123.51","-","0.71","0.58","2705224","33.06","208.99","114.60","0.6","-39.19"
"BELRISE","226.91","233.58","226.62","226.91","232.25","-","5.34","2.35","1427249","32.91","252.00","120.00","-3.68","86.85"
"TEJASNET","538.00","549.50","532.00","538.90","540.25","-","1.35","0.25","605756","32.71","659.80","294.00","-14.53","-15.37"
"CAMS","750.00","768.30","742.00","751.10","762.00","-","10.9","1.45","425468","32.30","855.20","611.40","-7.43","-9.53"
"OBEROIRLTY","1,865.00","1,879.90","1,841.00","1,894.80","1,871.50","-","-23.3","-1.23","173548","32.28","1,986.10","1,391.20","11.14","1.96"
"JKCEMENT","5,261.50","5,544.00","5,249.00","5,391.00","5,530.00","-","139","2.58","59228","32.24","7,565.50","4,671.50","0.55","-14.84"
"PIDILITIND","1,560.00","1,576.90","1,555.10","1,566.10","1,566.10","-","0","0","204630","32.11","1,626.70","1,259.00","-0.87","5.89"
